Base_LAD
11 de agosto de 2022 - 12 de novembro de 2025
Campanha,Tipo de campanha,Dia,Código da moeda,Custo,Conversões,Todas as conv.
red balloon | 2023 | pesquisa | sp capital | mkt4,Pesquisa,2022-12-05,BRL,"99,65","0,00","0,00"
red balloon | 2023 | pesquisa | mt | mkt4,Pesquisa,2022-12-05,BRL,"59,21","0,00","0,00"
red balloon | 2023 | pesquisa | df | mkt4,Pesquisa,2022-12-05,BRL,"49,94","0,00","0,00"
red balloon | 2023 | pesquisa | sp interior | mkt4,Pesquisa,2022-12-05,BRL,"119,56","0,00","0,00"
red balloon | 2023 | pesquisa | am | mkt4,Pesquisa,2022-12-05,BRL,"52,70","0,00","0,00"
red balloon | 2023 | pesquisa | rj | mkt4,Pesquisa,2022-12-05,BRL,"49,79","0,00","0,00"
red balloon | 2023 | pesquisa | pe | mkt4,Pesquisa,2022-12-05,BRL,"49,96","0,00","0,00"
red balloon | 2023 | pesquisa | mg | mkt4,Pesquisa,2022-12-05,BRL,"49,91","0,00","0,00"
red balloon | 2023 | pesquisa | ba | mkt4,Pesquisa,2022-12-05,BRL,"49,46","0,00","0,00"
red balloon | 2023 | pesquisa | ce | mkt4,Pesquisa,2022-12-05,BRL,"49,62","0,00","0,00"
red balloon | 2023 | pesquisa | rs | mkt4,Pesquisa,2022-12-05,BRL,"49,99","0,00","0,00"
red balloon | 2023 | pesquisa | pr | mkt4,Pesquisa,2022-12-05,BRL,"50,00","0,00","0,00"
red balloon | 2023 | pesquisa | go | mkt4,Pesquisa,2022-12-05,BRL,"49,52","0,00","0,00"
red balloon | 2023 | pesquisa | ms | mkt4,Pesquisa,2022-12-05,BRL,"49,59","0,00","0,00"
red balloon | 2023 | pesquisa | sp capital | mkt4,Pesquisa,2022-12-06,BRL,"100,00","0,00","0,00"
red balloon | 2023 | pesquisa | mt | mkt4,Pesquisa,2022-12-06,BRL,"49,99","0,00","0,00"
red balloon | 2023 | pesquisa | df | mkt4,Pesquisa,2022-12-06,BRL,"49,32","0,00","0,00"
red balloon | 2023 | pesquisa | sp interior | mkt4,Pesquisa,2022-12-06,BRL,"87,28","0,00","0,00"
red balloon | 2023 | pesquisa | am | mkt4,Pesquisa,2022-12-06,BRL,"49,40","0,00","0,00"
red balloon | 2023 | pesquisa | rj | mkt4,Pesquisa,2022-12-06,BRL,"49,93","0,00","0,00"
red balloon | 2023 | pesquisa | pe | mkt4,Pesquisa,2022-12-06,BRL,"50,83","0,00","0,00"
red balloon | 2023 | pesquisa | mg | mkt4,Pesquisa,2022-12-06,BRL,"49,99","0,00","0,00"
red balloon | 2023 | pesquisa | ba | mkt4,Pesquisa,2022-12-06,BRL,"49,88","0,00","0,00"
red balloon | 2023 | pesquisa | ce | mkt4,Pesquisa,2022-12-06,BRL,"49,99","0,00","0,00"
red balloon | 2023 | pesquisa | rs | mkt4,Pesquisa,2022-12-06,BRL,"50,00","0,00","0,00"
red balloon | 2023 | pesquisa | pr | mkt4,Pesquisa,2022-12-06,BRL,"41,35","0,00","0,00"
red balloon | 2023 | pesquisa | go | mkt4,Pesquisa,2022-12-06,BRL,"53,29","0,00","0,00"
